,X,Y
0,13.09,11.1
1,12.71,12.04
2,12.47,9.66
3,11.68,9.59
4,11.47,9.01
5,11.41,9.0
6,11.29,8.97
7,11.2,10.17
8,11.03,8.86
9,11.31,8.85
10,11.03,8.73
11,11.02,8.6
12,11.01,8.42
13,10.79,8.16
14,10.68,11.83
15,10.43,7.79
16,10.36,9.31
17,10.25,7.77
18,10.24,7.52
19,10.15,7.43
20,11.09,9.41
21,10.06,7.75
22,10.04,9.22
23,9.96,7.33
24,12.07,10.25
25,9.91,7.54
26,10.02,7.21
27,9.78,7.19
28,9.75,7.1
29,12.07,7.02
30,11.08,8.43
31,9.74,6.97
32,11.23,7.54
33,10.57,12.09
34,10.41,8.19
35,13.32,10.8
36,9.64,6.91
37,9.57,11.2
38,9.52,6.78
39,12.15,6.7
40,13.52,6.67
41,9.39,6.57
42,9.34,6.53
43,11.86,6.49
44,10.99,8.85
45,9.12,6.47
46,9.33,8.67
47,9.11,9.23
48,8.98,10.85
49,12.64,7.27
50,8.96,6.13
51,8.78,5.8
52,10.55,6.04
53,11.21,10.23
54,8.6,5.66
55,9.16,10.2
56,10.51,5.64
57,9.62,7.43
58,12.71,5.57
59,11.06,8.49
60,9.72,9.16
61,8.78,8.32
62,10.21,6.74
63,11.42,9.2
64,7.82,6.87
65,7.93,8.79
66,10.8,5.39
67,11.27,9.4
68,11.79,8.33
69,7.81,8.7
70,10.18,8.83
71,8.7,6.26
72,9.09,7.57
73,8.96,6.29
74,9.0,8.22
75,11.26,7.95
76,7.78,8.01
77,11.01,12.13
78,7.53,8.07
79,7.52,11.96
80,7.33,4.96
81,6.88,7.72
82,8.8,5.12
83,13.1,9.55
84,8.1,7.35
85,9.74,4.87
86,8.66,7.31
87,10.79,4.84
88,6.72,9.29
89,6.59,4.51
90,10.88,9.11
91,10.4,10.64
92,6.16,4.1
93,6.92,7.14
94,7.14,8.04
95,11.31,10.79
96,9.73,10.59
97,6.12,9.01
98,7.21,9.1
99,12.73,9.96
