,X,Y
0,17.14,7.96
1,16.06,7.6
2,15.09,7.57
3,16.29,7.46
4,15.39,7.37
5,15.09,7.25
6,15.04,7.23
7,15.04,7.22
8,14.91,7.56
9,14.91,7.18
10,14.89,7.12
11,15.27,6.96
12,14.75,6.92
13,15.05,7.28
14,14.41,6.83
15,14.3,6.76
16,14.25,7.37
17,14.24,6.67
18,14.27,7.46
19,14.14,7.11
20,15.26,6.64
21,14.1,6.61
22,14.02,8.46
23,14.01,6.56
24,13.96,6.68
25,13.94,7.1
26,15.8,7.13
27,14.94,6.51
28,15.31,6.5
29,15.03,7.91
30,14.57,10.38
31,14.76,6.44
32,13.92,6.42
33,15.43,6.38
34,13.79,6.36
35,13.78,7.67
36,16.13,9.12
37,14.9,6.65
38,13.6,6.35
39,13.55,6.34
40,14.89,6.31
41,13.62,6.28
42,13.78,6.27
43,13.51,6.25
44,13.43,6.24
45,14.21,6.18
46,13.96,6.13
47,16.19,6.25
48,14.36,6.12
49,15.08,6.65
50,14.55,6.35
51,13.39,7.2
52,13.18,8.62
53,14.29,6.61
54,15.68,7.11
55,13.17,6.01
56,13.16,6.31
57,14.24,5.93
58,12.96,5.92
59,15.52,7.25
60,12.92,5.91
61,14.38,7.87
62,14.9,6.01
63,12.57,6.27
64,15.98,7.19
65,12.46,7.73
66,15.78,6.66
67,14.21,7.62
68,13.9,8.63
69,12.4,7.64
70,13.58,6.73
71,14.58,6.8
72,15.92,6.0
73,15.92,8.29
74,13.54,5.91
75,12.14,5.83
76,12.09,5.68
77,14.0,5.64
78,15.4,5.51
79,14.56,5.49
80,15.73,5.41
81,13.52,6.26
82,14.68,7.66
83,14.34,5.26
84,15.72,5.22
85,14.93,6.23
86,14.35,5.05
87,12.05,6.94
88,13.42,7.34
89,15.48,4.93
90,14.29,6.29
91,14.44,4.6
92,17.17,6.92
93,15.68,4.73
94,14.65,6.85
95,13.4,4.25
96,16.54,7.88
97,12.0,7.95
98,15.61,6.96
99,14.56,3.92
