,X,Y
0,29.88,22.36
1,21.37,20.12
2,21.93,18.16
3,20.2,19.88
4,19.76,17.64
5,18.24,16.65
6,23.85,14.94
7,19.31,14.44
8,18.08,14.39
9,19.1,13.79
10,16.29,13.28
11,20.63,12.89
12,24.84,12.31
13,15.49,12.02
14,20.21,11.26
15,14.76,11.15
16,14.54,11.17
17,17.41,16.7
18,24.64,11.06
19,14.3,14.72
20,15.18,10.68
21,14.06,10.42
22,16.05,9.33
23,13.95,9.2
24,12.2,9.14
25,11.47,11.63
26,11.32,8.52
27,9.8,8.37
28,9.45,7.91
29,13.24,8.74
30,14.92,9.59
31,11.55,7.71
32,10.54,14.27
33,15.46,7.14
34,14.53,13.53
35,8.67,9.41
36,16.81,13.85
37,13.45,14.73
38,16.75,6.99
39,8.54,14.75
40,8.31,6.71
41,16.53,9.01
42,8.17,17.79
43,8.0,5.54
44,10.33,8.17
45,18.13,16.16
46,12.71,8.59
47,23.04,5.1
48,15.08,20.17
49,15.94,4.87
50,19.83,9.8
51,21.21,8.86
52,18.7,11.92
53,14.84,16.38
54,10.83,13.07
55,7.42,14.52
56,15.43,11.38
57,7.33,5.3
58,8.84,17.17
59,7.05,10.65
60,13.68,13.52
61,12.62,13.98
62,12.68,13.69
63,11.19,7.22
64,10.36,4.65
65,8.77,11.9
66,18.39,4.64
67,12.04,10.55
68,11.72,3.66
69,6.41,7.84
70,6.36,14.26
71,5.36,1.67
72,8.12,13.01
73,9.86,13.2
74,21.92,6.96
75,15.14,1.66
76,16.77,1.51
77,18.92,16.27
78,16.74,16.82
79,23.01,13.46
80,4.73,-0.96
81,13.03,-1.34
82,10.45,7.25
83,11.59,-2.96
84,15.17,11.54
85,4.36,10.64
86,3.15,10.36
87,10.84,2.49
88,8.29,-6.07
89,8.17,8.98
90,9.11,13.96
91,19.79,13.82
92,19.13,10.81
93,15.46,12.82
94,7.19,1.71
95,10.33,8.48
96,5.57,16.9
97,10.7,6.86
98,16.0,6.22
99,14.72,8.3
