,X,Y
0,14.19,16.1
1,13.01,15.31
2,12.55,14.93
3,12.03,14.79
4,10.41,14.46
5,15.67,13.73
6,9.35,14.52
7,8.9,13.64
8,10.08,14.69
9,10.02,15.36
10,8.85,13.36
11,12.61,13.27
12,12.45,14.0
13,14.6,17.35
14,9.73,15.6
15,8.84,13.58
16,8.08,17.26
17,7.14,13.15
18,11.69,12.97
19,7.11,12.67
20,6.93,12.77
21,18.42,12.53
22,12.55,15.91
23,9.8,13.31
24,6.91,12.42
25,6.43,12.14
26,6.14,11.94
27,6.1,13.83
28,9.87,11.76
29,9.4,11.7
30,6.08,11.13
31,6.02,14.14
32,7.11,10.89
33,5.79,17.72
34,5.59,13.11
35,6.1,12.72
36,5.22,18.35
37,13.4,16.61
38,5.2,10.78
39,12.43,11.15
40,8.08,16.72
41,5.17,16.16
42,4.45,14.78
43,4.26,17.2
44,8.65,15.21
45,9.54,10.61
46,3.96,10.41
47,9.83,12.42
48,3.54,10.05
49,6.48,9.84
50,8.92,9.79
51,3.36,9.63
52,2.54,14.04
53,5.18,10.22
54,17.27,9.49
55,8.58,9.43
56,6.46,8.73
57,13.26,11.47
58,3.9,14.65
59,12.92,10.94
60,9.21,11.2
61,3.56,16.29
62,16.83,10.87
63,8.49,14.03
64,11.07,16.07
65,8.18,12.97
66,2.22,11.61
67,4.32,10.53
68,8.87,8.53
69,9.35,8.48
70,9.06,14.08
71,2.16,19.85
72,4.14,14.06
73,1.79,10.75
74,7.63,16.01
75,7.18,8.91
76,9.75,9.87
77,6.43,14.75
78,0.05,18.13
79,5.77,8.35
80,8.79,7.66
81,11.26,12.37
82,13.85,17.64
83,-0.43,7.57
84,1.42,13.24
85,12.83,8.05
86,4.57,20.58
87,-1.08,14.46
88,10.18,15.19
89,12.59,10.5
90,4.93,13.15
91,9.11,19.6
92,12.11,7.56
93,17.22,5.69
94,8.34,14.41
95,13.43,9.09
96,5.2,17.71
97,11.56,16.59
98,2.42,11.13
99,-2.11,5.18
