,X,Y
0,13.76,12.18
1,13.35,11.87
2,12.88,13.3
3,12.67,11.76
4,12.98,11.37
5,12.5,11.19
6,12.25,11.1
7,12.03,13.36
8,11.92,10.6
9,13.75,10.3
10,11.7,10.01
11,11.69,12.05
12,11.59,12.28
13,11.58,9.79
14,11.48,10.22
15,11.13,13.01
16,11.01,12.42
17,10.76,9.74
18,12.3,9.64
19,13.16,10.6
20,11.79,12.19
21,11.05,13.14
22,10.42,9.62
23,10.21,11.46
24,10.13,9.36
25,11.01,10.75
26,10.13,10.58
27,10.57,9.14
28,10.07,9.05
29,12.3,9.01
30,10.04,12.34
31,9.9,11.87
32,11.34,10.31
33,14.78,8.94
34,12.91,12.45
35,9.66,10.55
36,11.1,12.04
37,13.16,10.09
38,9.59,9.27
39,11.53,12.72
40,12.64,9.48
41,12.87,8.87
42,10.14,8.65
43,14.13,8.63
44,9.08,8.51
45,9.4,11.24
46,9.0,8.47
47,9.57,8.34
48,8.91,10.58
49,10.54,12.41
50,9.48,13.74
51,8.69,9.77
52,9.79,8.17
53,9.84,7.96
54,12.7,12.14
55,8.99,7.93
56,10.04,11.68
57,8.61,8.49
58,8.79,11.96
59,8.6,7.73
60,12.61,10.55
61,8.46,8.15
62,12.99,7.4
63,10.54,8.19
64,9.54,7.31
65,8.44,7.03
66,10.4,6.92
67,8.29,13.36
68,9.84,6.72
69,8.95,10.24
70,11.25,6.32
71,14.91,14.87
72,7.93,12.19
73,10.53,12.05
74,12.05,9.58
75,7.92,5.93
76,14.35,9.09
77,7.89,7.13
78,11.01,11.18
79,7.61,7.04
80,7.36,10.26
81,7.26,8.7
82,9.48,9.64
83,7.08,9.09
84,10.49,10.67
85,6.96,9.85
86,10.12,6.8
87,10.99,11.07
88,6.89,7.41
89,13.76,11.81
90,10.94,11.64
91,13.63,9.99
92,11.48,10.88
93,10.35,10.56
94,10.05,14.91
95,10.06,9.14
96,11.55,12.21
97,12.53,8.74
98,12.62,8.26
99,6.68,9.33
