;X;Y
0;15.74;16.27
1;14.47;15.19
2;14.22;15.19
3;14.2;14.75
4;13.72;15.16
5;13.42;14.38
6;13.26;14.03
7;13.18;13.92
8;13.17;14.67
9;13.06;13.8
10;13.74;15.04
11;12.98;13.67
12;14.4;13.58
13;12.78;13.51
14;12.61;15.66
15;12.72;13.69
16;13.54;13.47
17;12.59;13.3
18;12.47;15.32
19;12.41;13.11
20;15.27;14.7
21;12.39;14.73
22;14.62;14.83
23;13.73;12.98
24;12.31;13.42
25;12.26;12.51
26;11.98;12.46
27;11.37;12.42
28;15.53;14.94
29;11.07;14.26
30;10.86;12.36
31;11.03;12.29
32;12.53;14.9
33;10.82;13.99
34;10.74;12.25
35;12.33;12.15
36;10.72;11.99
37;10.61;13.15
38;10.93;12.9
39;10.51;11.82
40;11.02;12.86
41;12.74;11.7
42;10.51;14.3
43;11.59;12.19
44;14.08;12.13
45;12.26;11.68
46;10.31;11.62
47;15.47;15.09
48;11.07;11.6
49;13.1;11.47
50;10.21;15.13
51;10.2;12.07
52;10.11;12.11
53;11.73;13.22
54;10.74;12.34
55;11.38;13.37
56;10.98;14.23
57;12.18;15.88
58;11.55;12.35
59;9.98;11.45
60;12.55;12.72
61;9.87;15.4
62;12.99;11.41
63;9.79;11.15
64;9.75;13.65
65;9.97;17.43
66;10.99;13.23
67;9.05;12.53
68;9.03;13.81
69;11.79;15.43
70;13.78;11.01
71;10.48;14.31
72;11.92;12.52
73;12.71;10.95
74;10.47;14.6
75;9.03;15.48
76;10.66;10.89
77;9.58;14.94
78;12.99;10.74
79;11.12;12.9
80;8.9;14.84
81;10.56;13.8
82;11.71;12.78
83;14.91;10.46
84;10.51;14.97
85;12.87;11.39
86;10.48;10.43
87;11.6;14.34
88;11.98;10.08
89;12.81;14.07
90;12.1;13.44
91;10.88;11.96
92;15.34;11.88
93;10.86;14.56
94;14.37;9.96
95;14.86;17.24
96;8.74;14.4
97;14.02;16.98
98;8.31;9.66
99;7.23;14.0
