;X;Y
0;14.32;20.74
1;12.02;18.13
2;11.98;17.9
3;11.97;16.9
4;11.9;16.3
5;11.82;17.13
6;11.5;16.27
7;11.35;16.22
8;11.1;17.29
9;11.06;16.08
10;10.98;16.08
11;10.98;16.01
12;10.96;16.03
13;13.16;15.98
14;11.26;18.37
15;12.04;16.6
16;10.39;15.93
17;10.33;15.87
18;10.62;15.83
19;11.13;15.57
20;11.78;15.2
21;10.66;15.03
22;10.16;14.94
23;11.27;14.7
24;11.6;15.53
25;10.14;14.64
26;10.24;14.57
27;10.59;16.6
28;9.99;14.5
29;9.97;14.23
30;9.79;15.31
31;10.63;14.23
32;9.75;14.01
33;9.62;13.96
34;9.12;15.65
35;8.75;15.91
36;9.69;13.96
37;11.34;13.91
38;9.7;13.81
39;8.67;14.98
40;13.77;13.78
41;12.45;18.53
42;8.55;14.83
43;10.48;15.97
44;8.51;20.27
45;8.5;13.71
46;8.5;16.82
47;10.98;13.62
48;10.54;13.58
49;13.86;15.13
50;8.48;14.51
51;8.1;14.52
52;9.97;15.7
53;12.6;13.57
54;11.45;18.13
55;11.82;16.25
56;8.38;15.16
57;7.97;13.92
58;11.98;13.39
59;10.38;16.12
60;14.68;13.33
61;8.86;13.25
62;7.93;14.03
63;11.81;16.72
64;12.46;13.31
65;7.86;17.63
66;7.85;16.15
67;9.35;14.42
68;7.78;13.85
69;11.95;15.23
70;15.18;15.53
71;7.42;16.72
72;8.57;14.95
73;7.18;18.08
74;6.52;13.17
75;8.76;13.15
76;9.91;16.47
77;10.85;13.03
78;10.69;17.92
79;13.39;15.42
80;10.53;14.66
81;10.4;15.42
82;10.83;14.79
83;13.45;13.01
84;9.91;16.88
85;10.56;13.0
86;6.48;13.35
87;9.34;12.68
88;11.03;12.63
89;13.44;15.55
90;6.84;17.21
91;8.34;17.01
92;6.14;16.16
93;13.14;11.29
94;10.71;12.75
95;9.71;17.54
96;10.52;11.06
97;10.31;18.88
98;9.21;19.64
99;8.52;12.71
