,X,Y
0,16.03,20.53
1,15.43,19.32
2,13.67,18.74
3,13.44,23.57
4,12.73,17.23
5,12.67,17.21
6,12.63,22.25
7,11.6,16.93
8,11.08,16.2
9,10.87,16.06
10,11.42,15.86
11,10.62,15.86
12,13.9,15.82
13,10.01,19.51
14,9.78,15.76
15,12.31,15.43
16,17.21,15.38
17,9.56,15.35
18,9.41,15.22
19,15.87,16.32
20,13.44,22.06
21,9.39,15.59
22,9.13,16.79
23,9.91,15.12
24,8.91,14.92
25,13.81,15.38
26,11.11,14.91
27,8.86,14.85
28,12.97,17.39
29,8.81,17.07
30,8.56,18.41
31,8.14,14.77
32,12.72,14.72
33,9.36,14.64
34,7.73,14.44
35,11.22,14.38
36,8.93,14.24
37,9.33,13.69
38,10.0,13.57
39,12.84,13.25
40,18.79,16.78
41,11.26,18.14
42,7.72,13.46
43,11.23,13.21
44,7.48,16.44
45,8.42,13.16
46,8.34,17.31
47,10.37,21.15
48,10.86,14.65
49,7.37,18.03
50,12.23,13.03
51,14.63,12.98
52,7.13,16.28
53,6.96,16.02
54,6.61,19.5
55,14.69,16.32
56,5.98,14.19
57,5.95,14.68
58,5.92,12.8
59,11.59,13.14
60,9.42,16.37
61,13.36,12.63
62,13.18,12.39
63,7.7,12.2
64,10.78,12.06
65,5.8,11.99
66,9.73,12.78
67,10.17,15.69
68,13.62,10.94
69,7.73,20.51
70,7.61,14.08
71,13.12,10.67
72,8.51,10.68
73,5.77,18.92
74,6.02,16.45
75,11.23,13.9
76,8.67,16.61
77,8.36,9.96
78,9.89,9.05
79,10.59,8.31
80,12.01,14.2
81,6.04,13.5
82,11.09,14.66
83,5.77,7.95
84,10.29,13.79
85,8.6,18.25
86,5.66,12.02
87,10.63,10.66
88,10.09,21.83
89,6.22,14.91
90,4.93,15.72
91,4.41,13.92
92,7.36,12.39
93,7.71,8.33
94,2.86,14.5
95,7.14,9.73
96,12.07,15.15
97,2.72,15.61
98,7.83,13.66
99,16.81,18.22
