,X,Y
0,22.82,17.35
1,22.55,16.26
2,21.86,16.14
3,20.65,15.69
4,20.36,14.84
5,20.2,14.7
6,19.3,20.07
7,19.25,14.65
8,18.94,14.51
9,18.9,14.17
10,18.02,14.38
11,17.52,13.74
12,18.11,13.47
13,17.45,13.63
14,17.87,15.62
15,16.91,13.54
16,19.14,13.08
17,16.81,12.59
18,17.25,12.19
19,16.79,12.15
20,16.7,12.04
21,25.4,13.38
22,16.66,12.37
23,20.43,13.23
24,16.65,18.99
25,19.91,16.5
26,16.43,11.84
27,16.38,11.99
28,17.31,16.06
29,16.23,11.65
30,15.83,19.95
31,17.81,15.89
32,15.75,11.47
33,16.82,17.55
34,15.19,11.29
35,15.04,19.74
36,14.61,12.2
37,14.57,11.2
38,15.39,13.97
39,14.34,13.98
40,16.99,11.94
41,17.66,15.34
42,17.67,16.87
43,15.88,14.58
44,16.56,17.13
45,13.92,16.41
46,16.41,13.28
47,16.93,15.99
48,13.65,14.03
49,13.38,11.18
50,26.52,11.65
51,17.61,13.73
52,19.27,14.37
53,16.26,12.54
54,13.33,11.06
55,14.82,10.98
56,18.07,13.52
57,17.42,21.79
58,17.73,11.61
59,13.01,20.1
60,17.04,16.4
61,12.47,10.54
62,12.53,11.57
63,18.31,10.44
64,16.17,10.4
65,21.2,10.21
66,22.62,10.2
67,16.56,14.41
68,16.04,14.0
69,16.25,10.08
70,12.78,14.9
71,12.43,10.88
72,12.34,10.05
73,16.79,13.64
74,23.92,10.0
75,14.34,9.09
76,15.38,12.81
77,14.41,13.97
78,15.48,13.1
79,16.44,8.73
80,24.49,8.52
81,11.8,11.96
82,14.67,9.9
83,11.05,8.35
84,9.9,14.54
85,13.1,18.05
86,18.27,8.34
87,17.59,16.91
88,7.01,13.75
89,15.22,10.4
90,16.3,7.25
91,17.76,17.35
92,21.6,7.24
93,16.8,15.79
94,15.73,16.52
95,13.31,6.74
96,13.8,6.14
97,4.17,11.65
98,17.17,4.56
99,20.46,14.68
