,X,Y
0,10.06,10.39
1,9.25,9.98
2,8.71,9.05
3,7.92,8.12
4,7.92,7.76
5,7.77,7.66
6,10.19,7.58
7,10.42,7.42
8,7.59,7.25
9,7.35,7.04
10,7.16,6.94
11,8.24,6.88
12,7.02,6.86
13,7.01,6.63
14,6.97,7.33
15,6.96,5.98
16,6.79,6.25
17,9.84,8.37
18,7.38,6.16
19,6.75,5.95
20,6.42,8.14
21,6.03,5.88
22,6.19,5.85
23,7.28,8.86
24,9.32,5.82
25,5.25,5.68
26,5.11,10.18
27,8.3,5.61
28,4.95,5.43
29,4.88,6.36
30,5.33,7.47
31,4.85,5.39
32,5.43,5.85
33,5.53,5.34
34,7.89,10.39
35,6.68,5.31
36,7.63,8.34
37,9.77,5.86
38,4.7,9.37
39,9.41,8.31
40,4.71,5.23
41,8.1,7.03
42,10.6,7.18
43,4.55,6.65
44,5.83,5.15
45,5.81,8.21
46,4.47,5.09
47,9.34,5.08
48,9.41,9.98
49,4.2,7.97
50,5.64,7.57
51,6.22,9.36
52,7.41,6.95
53,6.95,6.0
54,6.68,5.85
55,4.99,6.17
56,5.72,5.11
57,6.62,5.08
58,8.01,6.12
59,6.99,7.72
60,3.95,5.6
61,6.88,4.98
62,5.93,4.65
63,3.91,5.78
64,3.88,5.16
65,5.24,4.18
66,4.66,4.1
67,7.56,6.73
68,6.32,4.02
69,6.17,4.29
70,4.14,6.36
71,4.63,3.71
72,11.83,5.72
73,5.57,5.07
74,4.52,3.42
75,3.75,5.21
76,5.8,5.99
77,6.68,7.32
78,5.55,10.43
79,8.41,5.66
80,3.73,8.99
81,5.91,7.36
82,5.55,6.23
83,5.09,4.56
84,6.48,4.84
85,3.38,3.96
86,7.47,7.06
87,5.9,5.12
88,8.51,4.09
89,3.35,5.36
90,6.44,3.82
91,3.11,3.82
92,4.43,5.23
93,2.86,3.06
94,5.69,5.09
95,6.51,6.29
96,1.98,5.43
97,5.95,6.71
98,9.27,2.53
99,9.92,1.32
