;X;Y
0;20.92;17.22
1;20.24;17.22
2;19.11;16.01
3;19.08;14.31
4;17.43;14.2
5;17.12;13.67
6;17.02;13.3
7;16.58;12.11
8;16.18;11.39
9;15.34;10.98
10;14.84;10.94
11;14.73;10.57
12;18.37;13.68
13;14.27;10.54
14;13.99;10.5
15;12.94;10.1
16;12.92;9.99
17;12.73;11.22
18;18.26;9.6
19;12.51;9.55
20;12.49;9.39
21;12.29;9.09
22;12.03;8.5
23;14.77;8.44
24;11.98;12.84
25;11.46;8.4
26;13.19;8.3
27;11.34;12.13
28;12.05;8.24
29;17.63;8.05
30;16.26;15.12
31;13.29;7.88
32;11.22;7.86
33;11.33;7.57
34;18.14;7.41
35;16.4;7.05
36;14.37;15.75
37;10.93;10.64
38;10.88;7.05
39;10.88;7.04
40;18.91;8.44
41;13.39;9.2
42;10.63;6.94
43;10.53;9.2
44;11.17;6.89
45;10.3;7.49
46;14.79;6.84
47;13.52;6.84
48;20.8;6.76
49;9.96;9.0
50;9.19;6.56
51;17.68;6.54
52;9.02;6.35
53;13.29;14.61
54;15.9;11.95
55;12.24;7.0
56;12.78;5.93
57;8.91;5.92
58;16.79;6.99
59;12.0;5.85
60;18.02;6.02
61;15.38;15.95
62;13.0;6.62
63;20.27;5.67
64;15.76;11.97
65;18.13;5.59
66;14.06;5.1
67;23.28;3.53
68;18.39;14.89
69;17.97;6.62
70;8.74;12.88
71;14.79;2.8
72;19.08;14.54
73;8.34;9.15
74;11.54;9.96
75;13.73;8.78
76;23.93;19.35
77;8.16;5.56
78;12.62;2.74
79;10.63;8.37
80;16.49;5.14
81;13.52;3.69
82;14.97;10.87
83;14.39;2.25
84;17.32;13.55
85;7.84;6.42
86;7.69;1.46
87;14.32;15.27
88;7.38;12.4
89;6.54;7.5
90;10.99;0.89
91;13.18;5.03
92;19.3;11.4
93;24.65;-0.69
94;4.17;4.62
95;18.1;-1.15
96;14.45;3.23
97;14.96;-1.92
98;13.15;-2.02
99;6.19;-2.46
