;X;Y
0;17.47;13.63
1;12.07;12.2
2;11.13;12.08
3;10.09;12.04
4;9.72;10.29
5;9.36;10.22
6;9.08;10.16
7;8.99;11.92
8;8.9;10.08
9;11.1;10.62
10;8.78;9.98
11;8.41;9.76
12;8.3;9.69
13;8.39;9.53
14;8.29;9.23
15;8.46;8.69
16;8.27;10.07
17;8.24;12.85
18;8.2;8.67
19;10.18;8.42
20;8.12;8.42
21;11.01;9.57
22;8.05;8.35
23;8.56;10.43
24;7.67;8.28
25;7.54;7.96
26;7.38;7.85
27;7.28;11.04
28;7.26;7.67
29;7.16;9.88
30;6.96;7.6
31;11.66;10.34
32;9.35;7.69
33;10.69;7.58
34;8.72;7.79
35;12.24;11.24
36;6.94;8.38
37;6.75;7.4
38;10.32;7.38
39;8.37;8.18
40;6.14;7.92
41;8.47;8.74
42;6.12;6.94
43;10.58;8.43
44;7.57;6.9
45;11.07;6.9
46;10.8;10.08
47;8.49;6.48
48;5.97;12.88
49;13.23;11.68
50;10.18;6.46
51;5.97;6.0
52;8.57;12.89
53;5.82;7.18
54;7.15;10.32
55;7.2;10.96
56;5.52;7.73
57;8.01;8.04
58;6.08;7.19
59;13.83;9.54
60;4.65;7.79
61;4.08;10.71
62;5.68;5.92
63;3.78;5.71
64;12.44;8.04
65;3.52;12.68
66;7.68;11.87
67;3.47;5.45
68;6.4;7.65
69;9.56;6.71
70;9.77;7.85
71;2.84;5.42
72;10.1;10.38
73;7.59;5.11
74;2.19;10.98
75;9.31;5.06
76;8.42;8.78
77;7.55;9.46
78;5.25;10.38
79;10.08;8.71
80;4.56;6.38
81;7.26;11.76
82;7.72;7.83
83;10.15;8.96
84;5.84;13.04
85;8.31;4.65
86;9.05;6.1
87;8.4;8.31
88;13.37;8.67
89;10.77;13.31
90;9.35;11.71
91;6.03;8.43
92;10.42;7.88
93;10.75;4.26
94;5.15;9.53
95;12.17;5.77
96;10.78;7.75
97;9.66;5.53
98;7.31;9.93
99;6.47;6.76
