,X,Y
0,18.59,14.76
1,17.19,13.94
2,20.41,13.87
3,14.81,13.09
4,14.37,12.79
5,18.3,12.24
6,19.23,10.46
7,16.89,9.78
8,17.1,9.71
9,14.28,9.33
10,13.28,12.62
11,13.23,9.08
12,13.85,8.85
13,13.08,8.63
14,12.8,8.12
15,12.72,8.15
16,17.26,7.96
17,12.04,7.78
18,11.97,7.63
19,11.08,7.08
20,11.05,14.3
21,11.25,6.64
22,15.71,6.44
23,10.57,6.43
24,9.95,7.99
25,13.25,6.98
26,23.17,6.37
27,9.59,7.28
28,9.52,5.99
29,8.79,10.53
30,8.76,5.86
31,8.61,5.85
32,9.34,16.77
33,8.38,5.47
34,8.53,5.08
35,8.1,6.04
36,17.42,4.98
37,7.96,5.03
38,7.73,4.94
39,9.9,4.5
40,9.6,8.47
41,9.58,4.12
42,7.72,6.4
43,7.35,4.05
44,15.15,4.5
45,13.49,3.54
46,13.17,4.38
47,7.81,7.25
48,11.57,9.46
49,7.34,3.15
50,13.13,7.21
51,7.79,10.93
52,7.08,3.14
53,6.8,5.64
54,6.64,8.96
55,17.96,5.39
56,12.18,2.93
57,16.12,9.85
58,12.53,12.95
59,8.17,8.43
60,6.36,13.41
61,15.09,2.37
62,6.36,8.15
63,7.12,2.36
64,16.61,10.43
65,10.56,10.68
66,19.2,15.86
67,10.81,9.1
68,11.21,5.32
69,18.12,5.55
70,6.22,5.32
71,6.93,2.22
72,17.05,9.91
73,6.26,11.25
74,13.82,5.58
75,16.66,1.66
76,14.11,13.5
77,13.18,6.42
78,5.97,13.28
79,7.03,13.06
80,20.32,1.97
81,18.57,8.75
82,5.7,0.75
83,16.89,7.5
84,10.86,3.8
85,13.5,0.59
86,5.02,0.23
87,3.92,4.43
88,19.53,11.3
89,14.57,8.02
90,8.29,6.47
91,2.4,7.62
92,14.91,-0.84
93,10.69,13.63
94,10.78,-1.62
95,8.65,6.36
96,11.58,-1.72
97,18.34,-2.77
98,2.17,-2.87
99,7.34,5.6
